index,oldB cell,oldT cell,oldmacrophage,oldnatural killer cell,youngB cell,youngT cell,youngmacrophage,youngnatural killer cell
Map4k5,0.7551145195272703,0.19460146828487135,0.5733563940740022,0.8374166435304347,0.6880869073176035,0.185969177618522,0.45564850265631585,0.1657964052490251
Sav1,1.2858502821063285,1.042220884076717,1.5484244409454377,2.729186261375143,1.0628014974827995,0.9099091091950352,1.28661325261815,0.366940295658886
Nin,1.0736175141464877,1.3039072698898821,1.9513224130417386,1.2009494924890443,0.9468403730417562,1.2843450159678584,1.7743862581954908,0.9741654844891267
Tmx1,2.911587747794056,3.0040013771733602,3.3802186530720713,3.5298517951272688,2.459864512082077,2.8079530787811433,3.021301641405902,3.786322941998692
Actr10,3.223067367757676,3.748449989547096,3.7898388148275184,5.052606225291343,2.8016381187021553,3.559114599455693,3.2109472572573026,4.494131318258111
Psma3,7.215768516556874,7.6720251256490215,6.94886165916141,7.3008224817199565,7.2607270448478864,7.403246948328486,7.263268586188574,7.202446049708891
3110056K07Rik,0.5439350924999662,0.5036147458544006,0.6833365720485256,0.32717989038278233,0.5274299640798711,0.5647568584696393,0.5161774828412717,0.4874215637916741
Arid4a,3.1554392484890896,4.182175806678288,3.7273378804456727,3.470495304381659,3.0338616588895806,3.9280014282211626,3.745458158160978,3.1618897209459007
Timm9,1.685776128885462,1.511873524115856,1.2821974405856307,1.1735059513980348,1.3736108676676035,1.6781796487833418,1.2302725366047098,1.5624562761635994
2700049A03Rik,0.3842896961146885,0.35604688750904645,0.45541150207565345,0.5228193781678561,0.42122776625574293,0.3639580076852535,0.5420936039658694,0.37583680212639775
Jkamp,1.506292567603108,1.7865766887359948,1.6308234234566912,2.4474423210019682,1.086135420036871,1.4677773440287278,1.4220247892283535,3.7896357583345797
Pcnxl4,0.647813628129917,0.8302006794647623,0.3809610778547279,0.7852688958332523,0.625459821356776,0.808838937751915,0.48542017946307353,1.3261577678261969
Dhrs7,1.6011236319785531,3.000385768950134,4.030786605091068,3.9467278844085616,1.2299193780862927,2.2721766530291214,2.745144193222067,3.856876946724321
Ppm1a,1.6137141902504475,1.8055384324558788,2.0436654007837753,2.864053280321962,1.1554793076493315,1.4214656438364794,1.7132962924899895,1.2170369666359513
Mnat1,1.686003932702827,1.8704407723654008,1.734581559587642,0.7941816213208117,1.4824685184825561,1.8798237071210289,1.4618699904879715,0.8450097783643602
Prkch,0.049720725041472236,5.595064828326249,2.037881695042058,5.4028370625529565,0.041422429674860796,4.50764425297587,1.804423012260341,4.315317779699773
Hif1a,2.765115075183428,6.031116302543622,2.8782578310041376,2.7508225802938355,2.2673179288452534,4.345000299643712,3.2577895474732217,3.0291288979619786
Snapc1,1.0331936298829176,1.4309632042224052,0.7343552770462826,1.6095482286658376,0.7988506593601901,0.9838574181590881,0.7618231454549901,0.6655792823857207
Ppp2r5e,1.53240308449859,1.7389277287235607,1.9356220009659466,1.6457293096994257,1.3251841123951609,1.4962255280272334,1.5752267013292263,1.7296910544956818
Wdr89,6.2933195475536765,6.9456965475763335,5.466499243093454,5.853812201013134,6.5407729306449935,7.105688675378543,6.1937126925016415,5.161707892869556
