index,B cell,T cell,macrophage,natural killer cell
Naa10,1.384452435363812,1.75497445486525,1.4809744377298193,1.4052946349168498
Renbp,0.8576951502607761,0.7343043590134414,1.0196673321048422,0.7280078532482606
Hcfc1,0.9789566360611064,1.0042861657663775,1.1427459365164334,0.9809249055937617
Irak1,1.1794667947263706,1.1217778372206455,1.391219175006727,1.148301758072731
Mecp2,1.1438048906151481,1.2154329143182219,1.194692676772203,1.04771021880127
Flna,1.3749033327602989,1.8222999148030978,2.614797170813867,2.099242689856321
Emd,1.5456712433274211,1.50749473913598,1.9495033808083642,1.716824852094749
Rpl10,8.178352839993765,8.120831450189817,8.129703441941736,8.154687539041678
Dnase1l1,0.7861591367158748,0.7863371170810676,1.0665589027039255,0.7806926704263368
Taz,1.4273826088438701,1.2973766805290312,1.4610841530703653,1.3931725943946114
Atp6ap1,1.7785506715691988,1.3612821256775056,2.0640112158185326,1.578443195769839
Gdi1,1.2977203523933531,1.202333223507124,1.3495279033970822,1.298995107354844
Fam50a,1.269297260258029,1.2435912488480165,1.5069063837575936,1.2196538126509373
Lage3,1.2512634980961312,1.263899306953605,1.6253945678367983,1.3708399696911409
Ubl4a,1.1093730945061504,1.353351551482912,1.401248652815957,1.4805128854652072
Slc10a3,0.8331111155758111,0.8672568042379805,0.878389338953008,0.8828306944282118
Fam3a,0.9018477912130066,0.8565244475887076,0.9376261565254883,0.9023231709828701
Ikbkg,0.8574605465241077,0.8627710732992765,0.880264125357023,0.8788274999666293
G6pdx,0.8291459125553271,0.8194088237753633,1.3339947712498208,0.8593017454966999
Gab3,0.7705200668752568,0.9354919235610829,0.8265943235404584,1.26720961866758
Dkc1,1.2252582737399482,1.2769895370988387,1.0580833929880191,1.2347979746197435
Mpp1,1.1545945442646748,1.2041761941252727,1.4748946579546502,1.1260267925873868
Fundc2,1.9275159386408813,2.1164843764544146,2.0687076208667006,2.221475256952522
Cmc4,0.8670159882695585,0.8433758311079129,0.9134372389062682,0.7998329941066633
Brcc3,1.0652308868731575,1.0734825872821443,1.2167805832940102,1.2184504124555313
Vbp1,1.7508852106622492,1.5759484178391971,1.848122685015131,1.6939661769622767
Tbl1x,0.9991965656724455,1.2176112723534398,1.114334118126851,1.2111009857305053
Prkx,0.8503540129212124,0.9375881588559761,1.0712424780290637,1.2958922092638603
Gk,0.7664454942638018,0.7349138301257038,0.8880517838647339,0.6931471805599467
5430427O19Rik,1.0515964928582062,0.7602868126541122,0.9903528059438156,0.9683973097506067
Pola1,0.7430083100544558,0.7424672604255005,0.8589068911508747,0.8345901674150056
Pdk3,0.9007440993914517,0.9660540986348507,1.2438948919309414,0.8987980356082708
Zfx,0.9483353434134254,0.9593763635860293,0.9941928613119304,0.9261871243966194
Eif2s3x,1.1603919289782392,1.1872728555610137,1.3067753152627817,1.230717860776201
Klhl15,0.7961244044774737,0.7865551639858611,0.8180216813596577,0.793986629838289
Apoo,0.7950942771367395,0.7897322789524841,0.8523352186994252,0.7604384309902686
Zxdb,0.77385926307819,0.773692651845807,0.7805702030044993,0.7942161060204059
Amer1,0.7599316269454863,0.7757511011548412,0.7573329706291718,0.8155408422546209
Las1l,1.2990571597335894,1.3697584975645933,0.998966980876144,1.1730451282181222
Msn,3.79531693956549,3.5758238540149523,3.7539387767460237,3.6357500859189336
Yipf6,0.9307864307919622,0.9653502326827389,1.0044382024664156,0.8288715402315169
Pja1,0.9430159783761497,1.0408785027450131,0.9100693220547731,0.9587454084199164
Igbp1,1.6699114267538473,1.7626876176991373,1.920199302335038,1.5973088778042641
Pdzd11,0.9753749607623106,0.9860406525879056,1.17515275382488,1.0285222589471463
Snx12,0.9970373439290645,1.0210634841385615,1.1095151667129186,1.0276249477112789
Foxo4,0.7400483926036417,0.792174506157028,0.7582269329565041,0.8270779363380003
Il2rg,3.2353987073573696,3.684925037426357,2.400291755695971,4.199992756333606
Med12,0.8824230866675917,0.9433605732913074,0.8551879574494061,0.9651780657874053
Zmym3,0.7750786374735735,0.7958968583225389,0.8688551456193713,0.7598480706858695
Nono,2.2641899116375774,2.4817604085963376,2.721278817058934,2.218035588667102
Taf1,0.8675523272748044,0.9180860337937836,0.9313145027093551,0.9799834019186445
Ogt,2.2172104160717874,2.6020347356084277,2.0070645957830204,2.6064940249724273
Cxcr3,0.7962613598963824,1.8371219123935214,0.89239876932437,1.6798698019891725
Pin4,1.4390623940848568,1.5524899376486343,1.8659851225211441,1.6499646254880456
Rps4x,8.54248504950721,8.542502422099506,7.945112586818918,8.001935362795146
Hdac8,0.8070055753442397,0.8276463956556012,0.7940707462124099,0.8421335463569087
Ftx,0.9303239551344749,0.7456095335371334,0.7647883165088021,0.6931471805599467
Rlim,1.627988663649581,1.4647334474494418,1.4531489542167269,1.5045893300924094
Abcb7,0.8046035737673584,0.8193960193560943,0.9168821233024699,0.868942763101003
Pbdc1,1.388329568606535,1.2148364721391287,1.4314138252883952,1.4136185602594074
Atrx,1.6381371930745878,1.7914768067972469,1.871964418753545,2.071111043976378
Magt1,1.0539832136604421,0.9864716436156262,1.5439571174337927,1.1720114875213572
Cox7b,2.9221175688543157,3.4303520472258233,3.915563665471235,3.6541965444975064
Atp7a,0.7673892260336397,0.7585269192639985,0.9392512348812871,0.724349959319623
Pgk1,1.0281602298652053,1.1054172263427071,1.3684911400713782,1.0374547558011211
Taf9b,0.8556369848424199,0.8703550122443852,0.8315779193724079,0.9599780717361219
P2ry10,1.245652646266787,1.0866415054403227,0.9501918924772034,1.3101683361485177
A630033H20Rik,0.9231285386483159,0.7689438602623532,0.8868836312993839,0.7297355854152511
Gpr174,1.2270974363278806,1.3189226468358788,0.7855819916714407,1.5193716490904374
Itm2a,0.7295500998366631,1.112402915336533,0.7458882136061059,1.2099270124274513
2610002M06Rik,0.9318043962310159,1.0382338951654762,0.9409048477078944,1.1309563590936964
Brwd3,0.7783415999461913,0.7697929356916505,0.8114318117637611,0.7107843763307891
Hmgn5,0.9667935855360301,1.0184260726593437,1.101864640570683,1.2464815567330787
Sh3bgrl,1.545835393479894,1.2662242646254938,2.7523975555779496,1.4347412720201989
Gm6377,1.613917445204018,0.7230213625591593,1.865207718630504,0.7408291448274037
Apool,0.9453215420867678,0.9533042954518002,1.0560613983782103,1.0272704282314449
Chm,0.8462404182150065,0.87390005952607,0.9012478225851084,0.8496803792227078
Diaph2,0.8138834088260897,0.8172883375520293,1.0226052053206784,0.8672555589852768
Cstf2,0.9119869200903163,0.8922950175568839,0.89148960282966,1.0867259021787723
Xkrx,0.825614976351483,0.7101546376272299,0.7533258480584099,0.7127673584730834
Trmt2b,0.8955433160244229,0.8491588797078001,0.8808444768405163,1.0372328272589983
Btk,1.6320434771151366,0.7251098536016386,1.3408049780465732,0.7222020763814242
Rpl36a,7.624869723055519,7.644542921006954,6.61599937901646,6.62928583286119
Gla,0.8735466796225969,0.7721064896498294,0.8925976457476745,0.7920295902114202
Hnrnph2,1.6300845428452113,1.4299538788675115,1.8325513539717087,1.5617867678677044
Armcx3,0.7695599620382757,0.7749052425920647,0.8585274743309437,0.8156259329241007
Armcx2,0.7732413257996502,0.8050940986047251,0.811386697022406,0.860607261153041
Zmat1,0.8233757598249372,0.791081024941666,0.7755293258783471,0.7390387375870646
Armcx5,0.8663500620609198,0.8766764796949695,0.7969742362754608,0.88457125370763
Gprasp1,0.8093796319364074,0.849557354935288,0.8019582533156905,0.799650117525566
Bhlhb9,0.7894359961860937,0.8775300195054057,0.841782509042113,0.7889326434691969
Wbp5,1.4736155482924442,1.4310408160646795,1.582762117718057,1.8011719499747967
Ngfrap1,1.0104698935636847,1.6670819103110524,1.672585907357795,1.6948109353253678
Morf4l2,1.3010398910695096,1.277846366537802,1.7718434776476413,1.3078459833992986
Tmsb15l,0.7965828608708067,0.8157649716966425,0.7820231739346077,0.8682580479068397
Tmsb15b1,0.8858232809126687,0.8801192498449303,0.8676047581477028,1.0509847514840767
Slc25a53,0.8021171995077253,0.7858736219239987,0.8002052571102479,0.9021838262019687
Zcchc18,0.9508715083014233,0.9603272712447322,0.791287640369561,1.2135879590686278
Fam199x,0.7682209994660818,0.7637941069249142,0.7685738755529328,0.7779564715980147
Prps1,1.0565247923102523,1.1725879891247046,1.0600715321297673,0.9800572267549998
Tsc22d3,3.6545792160778228,2.743012323280095,2.2774222265451485,2.710723404330134
Psmd10,1.1227207698920993,1.1878881276357525,1.2821117377310525,1.4942542904602554
Atg4a,0.8224904486673541,0.8349759215761092,0.8618150802809307,0.8245104144760038
Acsl4,0.7777494964929532,0.8245723308418187,0.9566859995815888,0.7972753733469484
Tmem164,0.7563551954586251,0.8396022585386835,1.0118139185754977,0.8929418578537158
Ammecr1,0.7852250243641694,0.7673471870584009,0.8458230572030727,0.7780563702084323
Alg13,0.735540822427529,0.7675260410661207,0.8426991491923921,0.7505382876625606
Tmem29,0.915381764562294,0.8565618424608334,1.0904125065682535,0.9678167909368357
Apex2,0.7581346800599849,0.7669710633622129,0.754199805649356,0.8051153126895657
Gnl3l,0.8329802510816613,0.8698241704447921,0.8468929832240565,0.8658729962194089
Tsr2,0.856375984790515,0.9083653110023721,0.8852568511261989,0.9101683410879199
Phf8,0.8354080764845506,0.8550436174175037,0.884001661768171,0.9019651952323755
Huwe1,1.3085062123983666,1.3826203654207827,1.3643918593065878,1.3180118385909307
Hsd17b10,1.618335481926909,1.901915728111631,1.7450802107233125,1.7784224295475697
Smc1a,1.2760875760042671,1.419373047571285,1.472952568325029,1.6152964464357318
